2019-04-22 13:00:34,447 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MakeMyTripQATest:MakeMyTripQATest:0.0.1-SNAPSHOT @ G:\Assignment-2\MakeMyTripQATest\pom.xml.
2019-04-22 13:00:37,431 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MakeMyTripQATest/src/main/java
2019-04-22 13:00:37,431 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MakeMyTripQATest:MakeMyTripQATest:0.0.1-SNAPSHOT @ G:\Assignment-2\MakeMyTripQATest\pom.xml.
2019-04-22 13:00:37,431 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MakeMyTripQATest/src/main/resources
2019-04-22 13:00:37,431 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MakeMyTripQATest/src/test/java
2019-04-22 13:00:37,431 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MakeMyTripQATest/src/test/resources
2019-04-22 13:00:47,632 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MakeMyTripQATest:MakeMyTripQATest:0.0.1-SNAPSHOT @ G:\Assignment-2\MakeMyTripQATest\pom.xml.
2019-04-22 13:00:47,960 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-22 13:00:47,976 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-22 13:00:47,976 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-22 13:00:47,991 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-22 13:00:49,648 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MakeMyTripQATest:MakeMyTripQATest:0.0.1-SNAPSHOT @ G:\Assignment-2\MakeMyTripQATest\pom.xml.
2019-04-22 13:00:50,569 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-22 13:00:50,585 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-22 13:00:50,585 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-22 13:00:50,585 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
